Gene	FC
ENSG00000073670	5.443488409622559
ENSG00000148848	3.5828868436589127
ENSG00000143537	2.416610420857239
ENSG00000151694	1.4994942420139132
ENSG00000168619	17.247823582053
ENSG00000135074	4.51401812821889
ENSG00000104755	21.043989140539736
ENSG00000134007	3.9983228228640906
ENSG00000139985	3.9953671640691133
ENSG00000008277	4.879666912157938
ENSG00000114948	7.12829294612082
ENSG00000042980	7.340712024087872
ENSG00000168594	13.351355534039508
ENSG00000134249	21.10641854985729
ENSG00000197140	2.719377477223958
ENSG00000149451	7.045036508052498
ENSG00000069206	12.126327309143276
ENSG00000151651	11.161653933402016
ENSG00000168615	2.7466389242254015
ENSG00000134028	12.925987192989256
ENSG00000154734	2.9258827639523353
ENSG00000142303	3.054198784052949
ENSG00000151388	3.8252423914586138
ENSG00000160323	4.361139617196652
ENSG00000138316	6.2849034559326045
ENSG00000166106	4.377669931880259
ENSG00000145536	3.1355440334641216
ENSG00000140470	4.474169135025166
ENSG00000140873	6.845742068748996
ENSG00000145808	8.061227979681956
ENSG00000087116	2.9431764942805665
ENSG00000173157	2.98295349987183
ENSG00000156140	5.363039287461275
ENSG00000158859	3.0722222918657085
ENSG00000154736	5.412412394838673
ENSG00000049192	3.0437837266410925
ENSG00000136378	3.8828888212179207
ENSG00000134917	4.2716521160464564
ENSG00000163638	3.838250609388729
ENSG00000178031	2.8641478871578943
ENSG00000197859	5.829839319337146
ENSG00000156218	3.5290661852791976
ENSG00000143382	4.277594968914804
ENSG00000185761	3.8401498541580077
ENSG00000105963	6.382078265759399
ENSG00000184060	3.493689785248706
ENSG00000160710	2.5659650551881765
ENSG00000197381	3.7772866685080433
ENSG00000185736	9.466679099404942
ENSG00000065457	1.7031866581653692
ENSG00000189007	1.9864105561910241
ENSG00000213638	3.785312981174067
ENSG00000063761	2.0276663868528253
ENSG00000133597	1.8433762441393828
ENSG00000173137	1.7686579071166497
ENSG00000164742	6.408125481613202
ENSG00000143199	10.222957263413186
ENSG00000078295	6.217816814786079
ENSG00000138031	1.9913542424027657
ENSG00000129467	5.562415400490048
ENSG00000173175	9.09378665291104
ENSG00000174233	4.1018508168234895
ENSG00000121281	4.249902051144276
ENSG00000155897	9.771492883354222
ENSG00000162104	2.676097015639101
ENSG00000141433	12.071781005327077
ENSG00000078549	7.283028565572793
ENSG00000087274	1.458584479286022
ENSG00000075340	5.023291282967728
ENSG00000148700	1.6950204897322467
ENSG00000118492	9.82043470827755
ENSG00000197177	14.495641941521997
ENSG00000020181	2.619482722375073
ENSG00000152990	3.754231299486971
ENSG00000181790	7.692395671051529
ENSG00000121753	5.841445835063216
ENSG00000135298	7.139895805105353
ENSG00000111452	10.191035095898826
ENSG00000180264	4.5787522521446595
ENSG00000174837	7.838461944252847
ENSG00000127507	10.120838262355607
ENSG00000131355	19.40425092295865
ENSG00000123146	6.424972227622461
ENSG00000153292	4.353290068867632
ENSG00000164393	7.717269174399941
ENSG00000173567	2.7665308747625086
ENSG00000153294	7.913054348223274
ENSG00000069122	5.77430160564248
ENSG00000205336	4.233948009553452
ENSG00000173698	2.295501541255178
ENSG00000182885	19.048423570463388
ENSG00000156920	4.400508736695117
ENSG00000159618	8.162532083284866
ENSG00000112414	5.460502129164179
ENSG00000144820	12.711717654771203
ENSG00000072071	2.159243435466755
ENSG00000117114	2.7192202377897283
ENSG00000150471	5.170588833732265
ENSG00000162618	8.337278446112753
ENSG00000164199	11.069990116383979
ENSG00000187758	21.160307335357125
ENSG00000196616	9.961680280627277
ENSG00000248144	17.482529631714204
ENSG00000198099	21.522362145730934
ENSG00000197894	2.373246654087066
ENSG00000172955	20.289898717554774
ENSG00000196344	17.80699706528238
ENSG00000147576	3.8142051827055035
ENSG00000182551	6.693318222340849
ENSG00000182035	18.335409970053256
ENSG00000181092	16.0214982606229
ENSG00000159346	4.726847854261133
ENSG00000006831	2.814536634641686
ENSG00000148671	6.242510519970584
ENSG00000156110	3.077051845695874
ENSG00000148926	5.2222569444256015
ENSG00000128165	3.5260820399886965
ENSG00000224420	2.5367946034075355
ENSG00000101126	1.7630895408384424
ENSG00000101544	1.9088439260683177
ENSG00000181915	2.1614708240482994
ENSG00000163485	3.3558959805386706
ENSG00000128271	5.20335562544247
ENSG00000170425	4.658338938480306
ENSG00000282608	3.888079683049199
ENSG00000159322	2.464911871469055
ENSG00000144843	2.799413118388238
ENSG00000153531	11.606755968477817
ENSG00000170222	1.9639588367389285
ENSG00000116863	4.0669890387593615
ENSG00000120907	10.728466311666123
ENSG00000170214	5.428008380771166
ENSG00000171873	6.68148795115701
ENSG00000150594	6.944503430062152
ENSG00000274286	3.671466178824387
ENSG00000184160	12.995179727862908
ENSG00000043591	6.239373399624011
ENSG00000169252	3.501000542770093
ENSG00000188778	6.45254506107293
ENSG00000130706	3.602670858539543
ENSG00000239900	3.7444605805849434
ENSG00000185100	4.82530728534912
ENSG00000035687	1.7316110115948384
ENSG00000111863	5.182310344117224
ENSG00000106624	4.3827549741102425
ENSG00000139154	1.6077135359474999
ENSG00000181026	2.173266473174569
ENSG00000196526	1.8581797334570067
ENSG00000157510	4.181576160229611
ENSG00000169129	6.640386744082805
ENSG00000130396	1.8844198931529592
ENSG00000172493	2.7471892605144377
ENSG00000155966	8.177322456763129
ENSG00000144218	4.382493627895036
ENSG00000072364	1.6989547190250742
ENSG00000135537	2.087949264844697
ENSG00000141385	2.535562385824811
ENSG00000079557	21.607084279396663
ENSG00000183077	5.771074577795131
ENSG00000081051	13.645403340458502
ENSG00000119844	1.7867795621766667
ENSG00000038002	1.998547936546841
ENSG00000157985	2.8744933428387487
ENSG00000135439	6.02987566182415
ENSG00000133612	1.6683636452592454
ENSG00000188234	4.758095287010266
ENSG00000172650	2.8704381696346104
ENSG00000204149	3.4369613489604838
ENSG00000204172	4.6964780364517855
ENSG00000273540	5.692442148053743
ENSG00000165923	5.5371280057178724
ENSG00000146856	4.662004665469017
ENSG00000186094	8.042880326248795
ENSG00000084693	4.935181611830462
ENSG00000204305	8.836587807022598
ENSG00000173744	2.0662681813366985
ENSG00000106351	3.7777315743916855
