CELA3A_1	ENSG00000142789
CDC42_1	ENSG00000070831
ZBTB40_2	ENSG00000184677
ZBTB40_1	ENSG00000184677
EPHA8_1	ENSG00000070886
C1QA_1	ENSG00000173372
C1QC_1	ENSG00000159189
C1QB_1	ENSG00000173369
EPHB2_1	ENSG00000133216
EPHB2_2	ENSG00000133216
KDM1A_1	ENSG00000004487
KDM1A_2	ENSG00000004487
LUZP1_1	ENSG00000169641
LUZP1_2	ENSG00000169641
HNRNPR_1	ENSG00000125944
ZNF436_1	ENSG00000125945
ZNF436_3	ENSG00000125945
ZNF436_2	ENSG00000125945
TCEA3_1	ENSG00000204219
ASAP3_1	ENSG00000088280
E2F2_1	ENSG00000007968
RPL11_1	ENSG00000142676
ELOA_2	ENSG00000011007
ELOA_1	ENSG00000011007
PITHD1_1	ENSG00000057757
LYPLA2_1	ENSG00000011009
GALE_2	ENSG00000117308
GALE_1	ENSG00000117308
FUCA1_1	ENSG00000179163
CNR2_1	ENSG00000188822
PNRC2_2	ENSG00000189266
PNRC2_1	ENSG00000189266
SRSF10_1	ENSG00000188529
MYOM3_1	ENSG00000142661
MYOM3_2	ENSG00000142661
IL22RA1_1	ENSG00000142677
IFNLR1_1	ENSG00000185436
GRHL3_1	ENSG00000158055
GRHL3_2	ENSG00000158055
NIPAL3_2	ENSG00000001461
NIPAL3_3	ENSG00000001461
NIPAL3_1	ENSG00000001461
STPG1_1	ENSG00000001460
STPG1_3	ENSG00000001460
RCAN3_1	ENSG00000117602
RCAN3_4	ENSG00000117602
RCAN3_2	ENSG00000117602
RCAN3_3	ENSG00000117602
NCMAP_1	ENSG00000184454
NCMAP_2	ENSG00000184454
SRRM1_1	ENSG00000133226
CLIC4_1	ENSG00000169504
RUNX3_2	ENSG00000020633
RUNX3_1	ENSG00000020633
SYF2_1	ENSG00000117614
RSRP1_1	ENSG00000117616
RHD_2	ENSG00000187010
RHD_1	ENSG00000187010
RHCE_1	ENSG00000188672
TMEM57_2	ENSG00000204178
TMEM57_1	ENSG00000204178
TMEM57_3	ENSG00000204178
LDLRAP1_1	ENSG00000157978
MAN1C1_1	ENSG00000117643
SEPN1_1	ENSG00000162430
SEPN1_3	ENSG00000162430
MTFR1L_3	ENSG00000117640
MTFR1L_1	ENSG00000117640
MTFR1L_2	ENSG00000117640
MTFR1L_4	ENSG00000117640
AUNIP_1	ENSG00000127423
PAQR7_1	ENSG00000182749
PAQR7_2	ENSG00000182749
PAFAH2_1	ENSG00000158006
EXTL1_1	ENSG00000158008
SLC30A2_1	ENSG00000158014
